hospital_id,entity_code,hospital_name,district,ownership,directorate,verified_specialties,latitude,longitude,hospital_name_ta
TNH0002,H_18437,"Ariyalur Golden Hospital Pvt.Ltd, Ariyalur TN.",Ariyalur,PVT HOSPITAL,PVT,Multi-Speciality,11.1406737,79.0753576,"அரியலூர் கோல்டன் ஹாஸ்பிடல் பிரைவேட் லிமிடெட், அரியலூர் டி.என்."
TNH0004,H_25860,"Govt Hospital, Sendurai, Ariyalur TN.",Ariyalur,GOVT-DMS,Govt,General Medicine,11.254278,79.1794871,"அரசு மருத்துவமனை, செந்துறை, அரியலூர் டி.என்."
TNH0005,H_25859,"Govt Hospital, Udayarpalayam, Ariyalur TN.",Ariyalur,GOVT-DMS,Govt,General Medicine,11.1854634,79.2965118,"அரசு மருத்துவமனை, உடையார்பாளையம், அரியலூர் டி.என்."
TNH0013,H_21985,"Annai Arul Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.9207342,80.0880632,"அன்னை அருள் மருத்துவமனை, செங்கல்பட்டு டி.என்."
TNH0014,H_22425,"Apollo Speciality Hosptial, OMR, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.9631697,80.2459193,"அப்போலோ சிறப்பு மருத்துவமனை, ஓஎம்ஆர், செங்கல்பட்டு, தமிழ்நாடு."
TNH0015,H_22866,"B.M Hospital, Nanganallur, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.9888177,80.1901629,"பி.எம் மருத்துவமனை, நங்கநல்லூர், செங்கல்பட்டு டி.என்."
TNH0016,H_18469,"Balaji Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6883902,79.9821028,"பாலாஜி மருத்துவமனை, செங்கல்பட்டு டி.என்."
TNH0017,H_23426,"Bharath Medical Col and Hosp, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6819372,79.9888413,"பாரத் மருத்துவக் கல்லூரி மற்றும் மருத்துவமனை, செங்கல்பட்டு, தமிழ்நாடு."
TNH0018,H_22970,"C-Dot Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,"Dermatology,Orthopedics",12.6819372,79.9888413,"சி-டாட் மருத்துவமனை, செங்கல்பட்டு, தமிழ்நாடு."
TNH0019,H_25842,"Chettinad Hospital and Res Ins, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6819372,79.9888413,"செட்டிநாடு மருத்துவமனை மற்றும் ஆராய்ச்சி நிறுவனம், செங்கல்பட்டு, தமிழ்நாடு."
TNH0021,H_18300,"Dr Kamakshi Memorial Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6819372,79.9888413,"டாக்டர் காமாக்ஷி நினைவு மருத்துவமனை, செங்கல்பட்டு TN."
TNH0022,H_22863,"Dr. Rela Inst. and Medical Centre, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.9549235,80.1388459,"டாக்டர் ரெலா நிறுவனம் மற்றும் மருத்துவ மையம், செங்கல்பட்டு, தமிழ்நாடு."
TNH0023,H_22972,"Gem Hospital And Res Centre Pvt Ltd, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,"Gastrology,Hepatology",12.9692339,80.245817,"ஜெம் மருத்துவமனை மற்றும் ஆராய்ச்சி மையம் பிரைவேட் லிமிடெட், செங்கல்பட்டு, தமிழ்நாடு."
TNH0024,H_18439,"Gleneagles Global Health City, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.8979503,80.2056482,"கிளெனேகிள்ஸ் குளோபல் ஹெல்த் சிட்டி, செங்கல்பட்டு, தமிழ்நாடு."
TNH0039,H_18780,"Hindu Mission Health Services, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.9788794,80.1846431,"இந்து மிஷன் சுகாதார சேவைகள், செங்கல்பட்டு, தமிழ்நாடு."
TNH0040,H_18204,"Hindu Mission Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.9236633,80.1141179,"இந்து மிஷன் மருத்துவமனை, செங்கல்பட்டு, தமிழ்நாடு."
TNH0041,H_24100,"Jeevan Sumyuktha Hospitals, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,PVT,Multi-Speciality,12.7285083,79.9979514,"ஜீவன் சும்யுக்தா மருத்துவமனைகள், செங்கல்பட்டு TN."
TNH0042,H_23675,"Jolen Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6819372,79.9888413,"ஜோலன் மருத்துவமனை, செங்கல்பட்டு TN."
TNH0043,H_25745,"JSP Hospital Pvt Ltd, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,PVT,Multi-Speciality,12.6973294,79.9725414,"ஜேஎஸ்பி மருத்துவமனை பிரைவேட் லிமிடெட், செங்கல்பட்டு, தமிழ்நாடு."
TNH0044,H_19648,"Karpaga Vinyaga Institute, Chengalpet,TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.5922558,79.9136445,"கற்பக வினியாகா நிறுவனம், செங்கல்பட்டு, தமிழ்நாடு."
TNH0045,H_23669,"Kasturi Hospital, Tambaram, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6819372,79.9888413,"கஸ்தூரி மருத்துவமனை, தாம்பரம், செங்கல்பட்டு டி.என்."
TNH0046,H_18400,"Melmaruvathur Adhiparsakthi Inst, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.43366,79.82834,"மேல்மருவத்தூர் ஆதிபர்சக்தி நிறுவனம், செங்கல்பட்டு TN."
TNH0047,H_23177,"Sai Fertility Centre and Hospital,Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6898542,79.9802029,"சாய் கருவுறுதல் மையம் மற்றும் மருத்துவமனை, செங்கல்பட்டு, தமிழ்நாடு."
TNH0048,H_22683,"Shadithya Health Care, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Psychology,12.6819372,79.9888413,"ஷாதித்யா ஹெல்த் கேர், செங்கல்பட்டு, தமிழ்நாடு."
TNH0049,H_21126,"Shri Sathya Sai Medical College, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.7479394,80.1332946,"ஸ்ரீ சத்ய சாய் மருத்துவக் கல்லூரி, செங்கல்பட்டு TN."
TNH0050,H_18789,"Sree Renga Nursing Home, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.689647,79.9792306,"ஸ்ரீ ரெங்கா நர்சிங் ஹோம், செங்கல்பட்டு, தமிழ்நாடு."
TNH0051,H_18793,"Sri Balaji Medical Coll and Hosp, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6819372,79.9888413,"ஸ்ரீ பாலாஜி மருத்துவக் கல்லூரி மற்றும் மருத்துவமனை, செங்கல்பட்டு, தமிழ்நாடு."
TNH0052,H_20050,"Sri Chakara Multi Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6868715,79.980084,"ஸ்ரீ சக்கரா மல்டி மருத்துவமனை, செங்கல்பட்டு TN."
TNH0053,H_26007,"Sringeri Sharada Equitas Hospital, Chengalpet, TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.9208467,80.1670449,"சிருங்கேரி சாரதா ஈக்விடாஸ் மருத்துவமனை, செங்கல்பட்டு, டி.என்."
TNH0054,H_18283,"SRM Medical College Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6819372,79.9888413,"எஸ்.ஆர்.எம் மருத்துவக் கல்லூரி மருத்துவமனை, செங்கல்பட்டு, தமிழ்நாடு."
TNH0055,H_18623,"St. Thomas Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,13.012147,80.1964437,"புனித தோமா மருத்துவமனை, செங்கல்பட்டு, தமிழ்நாடு."
TNH0056,H_23134,"Sugam Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.9618495,80.1466852,"சுகம் மருத்துவமனை, செங்கல்பட்டு டி.என்."
TNH0057,H_18768,"Tagore Medical Coll And Hosp, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.6819372,79.9888413,"தாகூர் மருத்துவக் கல்லூரி மற்றும் மருத்துவமனை, செங்கல்பட்டு, தமிழ்நாடு."
TNH0058,H_25625,"Tagore Specialty Hospital, Chengalpet TN.",Chengalpattu,PVT HOSPITAL,Pvt,Multi-Speciality,12.8604097,80.1357701,"தாகூர் சிறப்பு மருத்துவமனை, செங்கல்பட்டு, தமிழ்நாடு."
TNH0060,H_25710,"Adambakkam Sudar Hospital, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,"Multi-Speciality,Pediatrics",12.9911839,80.1986392,"ஆதம்பாக்கம் சுதர் மருத்துவமனை, சென்னை டி.என்."
TNH0061,H_22799,"Adyar PM Hospital,Adyar,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,12.9981587,80.2556835,"அடையார் பிஎம் மருத்துவமனை, அடையார், சென்னை, தமிழ்நாடு."
TNH0063,H_18644,"Apollo Greams,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0623079,80.252852,"அப்போலோ கிரீம்ஸ், சென்னை, தமிழ்நாடு."
